"",mean_right_dir,min_right_dir,max_right_dir,mean_wrong_dir,min_wrong_dir,max_wrong_dir,mean_asc,min_asc,max_asc,mean_desc,min_desc,max_desc,mean_wrong_edges,min_wrong_edges,max_wrong_edges,mean_indegree,min_indegree,max_indegree,indegree for actual 0 indegree,indegree for actual 1 indegree,indegree for actual 2 indegree,indegree for actual 3 indegree,indegree for actual 4 indegree,indegree for actual 5 indegree,indegree for actual 6 indegree,indegree for actual 7 indegree,indegree for actual 8 indegree,indegree for actual 9 indegree,indegree for actual 10 indegree
0,0.558333,0.000000,1.000000,0.334722,0.000000,1.000000,0.961538,0.666667,1.000000,0.830247,0.333333,1.000000,0.646874,0.571429,0.787879,1.891667,1.000000,3.333333,1.272222,1.487179,2.354167,2.666667,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,0.569722,0.222222,1.000000,0.282500,0.000000,0.555556,0.875817,0.000000,1.000000,0.838333,0.500000,1.000000,0.659522,0.607143,0.750000,2.194444,1.000000,3.666667,1.318056,1.511905,2.597222,3.000000,3.166667,-inf,-inf,-inf,-inf,-inf,-inf
2,0.503849,0.238095,0.833333,0.351468,0.111111,0.666667,0.827778,0.333333,1.000000,0.865205,0.333333,1.000000,0.650096,0.590909,0.750000,2.208333,1.166667,3.166667,1.435556,1.282051,2.570707,3.285714,2.000000,2.666667,-inf,-inf,-inf,-inf,-inf
3,0.514087,0.285714,0.833333,0.360198,0.166667,0.583333,0.884259,0.333333,1.000000,0.859167,0.500000,1.000000,0.651700,0.583333,0.742857,2.180556,1.333333,4.333333,1.570556,1.343750,2.743590,3.047619,3.583333,-inf,-inf,-inf,-inf,-inf,-inf
4,0.529947,0.300000,0.833333,0.309610,0.125000,0.666667,0.828655,0.000000,1.000000,0.851111,0.583333,1.000000,0.654336,0.571429,0.717391,2.181944,1.111111,3.333333,1.420278,1.275794,2.606481,3.444444,3.333333,2.916667,-inf,-inf,-inf,-inf,-inf
5,0.330775,0.074074,0.703704,0.230268,0.095238,0.370370,0.560556,0.000000,1.000000,0.560202,0.166667,1.000000,0.617665,0.546875,0.733333,2.423333,1.333333,3.200000,1.705198,1.971053,2.961111,2.850000,2.666667,-inf,-inf,-inf,-inf,-inf,-inf
6,0.370857,0.148148,0.629630,0.229218,0.116667,0.311111,0.623896,0.291667,1.000000,0.593821,0.333333,0.848485,0.578178,0.500000,0.730769,2.436071,2.083333,2.944444,1.719167,2.101170,2.725146,2.833333,2.000000,3.333333,-inf,-inf,-inf,-inf,-inf
7,0.330473,0.116667,0.523810,0.250358,0.100000,0.416667,0.575403,0.148148,0.888889,0.595502,0.333333,0.933333,0.603699,0.513158,0.712500,2.412381,1.916667,3.250000,1.800516,1.925833,2.640432,2.769231,3.208333,-inf,-inf,-inf,-inf,-inf,-inf
8,0.311572,0.100000,0.615385,0.238071,0.083333,0.361111,0.485089,0.148148,0.700000,0.601390,0.333333,0.944444,0.605778,0.542373,0.683333,2.322189,1.500000,3.222222,1.744451,1.829674,2.548148,2.921296,2.333333,3.333333,4.0,-inf,-inf,-inf,-inf
9,0.324167,0.144928,0.507246,0.266786,0.140351,0.500000,0.574416,0.435897,0.952381,0.616620,0.400000,0.888889,0.590728,0.538462,0.662791,2.407672,1.944444,3.055556,1.808254,1.929444,2.820175,2.988095,2.444444,3.666667,-inf,-inf,-inf,-inf,-inf
10,0.346063,0.177778,0.686275,0.250140,0.098039,0.438596,0.607702,0.375000,0.888889,0.588238,0.350000,0.900000,0.594132,0.481928,0.648352,2.476852,1.814815,3.222222,1.914960,1.997778,2.835278,2.628205,3.500000,2.666667,-inf,-inf,-inf,-inf,-inf
11,0.311299,0.166667,0.500000,0.234551,0.111111,0.368421,0.527940,0.272727,0.777778,0.552557,0.250000,0.800000,0.602852,0.533333,0.666667,2.538836,2.000000,3.333333,1.731486,2.002047,2.762302,2.916667,3.166667,2.666667,-inf,-inf,-inf,-inf,-inf
