"",mean_right_dir,min_right_dir,max_right_dir,mean_wrong_dir,min_wrong_dir,max_wrong_dir,mean_asc,min_asc,max_asc,mean_desc,min_desc,max_desc,mean_wrong_edges,min_wrong_edges,max_wrong_edges,mean_indegree,min_indegree,max_indegree,indegree for actual 0 indegree,indegree for actual 1 indegree,indegree for actual 2 indegree,indegree for actual 3 indegree,indegree for actual 4 indegree,indegree for actual 5 indegree,indegree for actual 6 indegree,indegree for actual 7 indegree,indegree for actual 8 indegree,indegree for actual 9 indegree,indegree for actual 10 indegree
0,0.504167,0.222222,1.000000,0.400000,0.000000,0.666667,0.974359,0.833333,1.0,0.831790,0.333333,1.0,0.677894,0.600000,0.750000,2.200000,1.000000,5.666667,1.425000,1.371795,2.854167,4.166667,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,0.563889,0.250000,0.833333,0.300278,0.083333,0.666667,0.875817,0.000000,1.0,0.850556,0.500000,1.0,0.701883,0.600000,0.800000,2.697222,1.333333,5.666667,1.520833,1.690476,3.513889,4.000000,3.833333,-inf,-inf,-inf,-inf,-inf,-inf
2,0.533333,0.250000,0.944444,0.351944,0.055556,0.666667,0.878472,0.500000,1.0,0.894444,0.666667,1.0,0.701245,0.615385,0.818182,2.819444,1.333333,5.500000,1.840833,1.564103,3.146465,4.142857,3.333333,4.666667,-inf,-inf,-inf,-inf,-inf
3,0.587381,0.375000,0.733333,0.290972,0.041667,0.523810,0.887963,0.333333,1.0,0.867500,0.500000,1.0,0.691560,0.608696,0.763158,2.720833,1.222222,5.166667,1.626111,1.526042,3.410256,4.238095,4.750000,-inf,-inf,-inf,-inf,-inf,-inf
4,0.557467,0.333333,0.866667,0.314398,0.074074,0.555556,0.847953,0.000000,1.0,0.882500,0.500000,1.0,0.702941,0.612903,0.781609,2.788889,1.333333,5.333333,1.688889,1.511905,3.050926,4.722222,5.000000,5.000000,-inf,-inf,-inf,-inf,-inf
5,0.451273,0.066667,0.714286,0.297247,0.166667,0.600000,0.777222,0.555556,1.0,0.728135,0.428571,1.0,0.747492,0.677966,0.855263,3.097222,1.777778,4.444444,2.217857,2.362573,3.951852,3.933333,2.866667,-inf,-inf,-inf,-inf,-inf,-inf
6,0.484766,0.222222,0.809524,0.306068,0.166667,0.454545,0.771389,0.416667,1.0,0.801528,0.444444,1.0,0.725715,0.626506,0.807229,3.095595,2.583333,4.133333,2.315278,2.508187,3.630117,3.641026,2.333333,6.000000,-inf,-inf,-inf,-inf,-inf
7,0.472235,0.151515,0.666667,0.293238,0.060606,0.461538,0.753056,0.111111,1.0,0.789821,0.500000,1.0,0.734359,0.687500,0.835165,3.026984,2.333333,3.833333,2.341865,2.241389,3.402778,4.410256,3.958333,-inf,-inf,-inf,-inf,-inf,-inf
8,0.443829,0.121212,0.666667,0.315930,0.177778,0.545455,0.751825,0.400000,1.0,0.778750,0.444444,1.0,0.729359,0.666667,0.796610,2.817169,1.750000,4.111111,2.352844,1.908466,3.441975,4.032407,3.300000,2.000000,5.0,-inf,-inf,-inf,-inf
9,0.461831,0.272727,0.733333,0.335028,0.194444,0.484848,0.795099,0.555556,1.0,0.795771,0.555556,1.0,0.720242,0.674603,0.759615,3.003505,2.055556,3.791667,2.297659,2.262500,3.513158,4.261905,4.666667,4.000000,-inf,-inf,-inf,-inf,-inf
10,0.454651,0.230769,0.743590,0.326084,0.215686,0.512821,0.800463,0.611111,1.0,0.764120,0.555556,1.0,0.736536,0.683333,0.768519,3.106653,2.222222,3.619048,2.466627,2.140556,3.537778,4.115385,5.500000,4.333333,-inf,-inf,-inf,-inf,-inf
11,0.465162,0.305556,0.722222,0.311701,0.148148,0.476190,0.763948,0.466667,1.0,0.782757,0.416667,1.0,0.721713,0.688525,0.748092,3.218016,2.333333,4.583333,2.167537,2.079532,3.694444,4.238095,4.979167,3.000000,-inf,-inf,-inf,-inf,-inf
