"",mean_right_dir,min_right_dir,max_right_dir,mean_wrong_dir,min_wrong_dir,max_wrong_dir,mean_asc,min_asc,max_asc,mean_desc,min_desc,max_desc,mean_wrong_edges,min_wrong_edges,max_wrong_edges,mean_indegree,min_indegree,max_indegree,indegree for actual 0 indegree,indegree for actual 1 indegree,indegree for actual 2 indegree,indegree for actual 3 indegree,indegree for actual 4 indegree,indegree for actual 5 indegree,indegree for actual 6 indegree,indegree for actual 7 indegree,indegree for actual 8 indegree,indegree for actual 9 indegree,indegree for actual 10 indegree
0,0.504167,0.222222,1.000000,0.400000,0.000000,0.666667,0.974359,0.833333,1.000000,0.831790,0.333333,1.000000,0.677894,0.600000,0.750000,2.200000,1.000000,5.666667,1.425000,1.371795,2.854167,4.166667,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,0.563889,0.250000,0.833333,0.300278,0.083333,0.666667,0.875817,0.000000,1.000000,0.850556,0.500000,1.000000,0.701883,0.600000,0.800000,2.697222,1.333333,5.666667,1.520833,1.690476,3.513889,4.000000,3.833333,-inf,-inf,-inf,-inf,-inf,-inf
2,0.533333,0.250000,0.944444,0.351944,0.055556,0.666667,0.878472,0.500000,1.000000,0.894444,0.666667,1.000000,0.701245,0.615385,0.818182,2.819444,1.333333,5.500000,1.840833,1.564103,3.146465,4.142857,3.333333,4.666667,-inf,-inf,-inf,-inf,-inf
3,0.587381,0.375000,0.733333,0.290972,0.041667,0.523810,0.887963,0.333333,1.000000,0.867500,0.500000,1.000000,0.691560,0.608696,0.763158,2.720833,1.222222,5.166667,1.626111,1.526042,3.410256,4.238095,4.750000,-inf,-inf,-inf,-inf,-inf,-inf
4,0.557467,0.333333,0.866667,0.314398,0.074074,0.555556,0.847953,0.000000,1.000000,0.882500,0.500000,1.000000,0.702941,0.612903,0.781609,2.788889,1.333333,5.333333,1.688889,1.511905,3.050926,4.722222,5.000000,5.000000,-inf,-inf,-inf,-inf,-inf
5,0.377658,0.095238,0.814815,0.286118,0.111111,0.452381,0.685503,0.333333,1.000000,0.650149,0.250000,1.000000,0.664570,0.606061,0.808511,3.205000,1.666667,4.416667,2.480397,2.585673,4.130556,3.600000,3.533333,-inf,-inf,-inf,-inf,-inf,-inf
6,0.409290,0.192982,0.703704,0.283720,0.150000,0.444444,0.726693,0.466667,1.000000,0.676002,0.454545,1.000000,0.640458,0.567901,0.697917,3.264683,2.416667,4.400000,2.400000,2.760819,3.571637,4.128205,3.333333,5.000000,-inf,-inf,-inf,-inf,-inf
7,0.384953,0.166667,0.564103,0.289896,0.116667,0.404762,0.691322,0.407407,0.958333,0.665352,0.400000,0.933333,0.650548,0.578313,0.710000,3.078770,2.428571,4.166667,2.521746,2.233611,3.635802,4.410256,4.083333,-inf,-inf,-inf,-inf,-inf,-inf
8,0.367584,0.087719,0.641026,0.266327,0.125000,0.438596,0.585222,0.285714,0.833333,0.675359,0.509804,0.969697,0.652771,0.557143,0.767442,3.064398,1.666667,4.111111,2.299398,2.166534,3.640432,4.407407,3.700000,2.333333,5.0,-inf,-inf,-inf,-inf
9,0.367802,0.185185,0.600000,0.300234,0.158730,0.472222,0.661310,0.515152,0.952381,0.689327,0.555556,1.000000,0.643672,0.588889,0.693694,3.092725,2.055556,4.000000,2.397143,2.439722,3.583333,4.250000,3.555556,5.000000,-inf,-inf,-inf,-inf,-inf
10,0.350649,0.185185,0.627451,0.297916,0.149425,0.476190,0.646493,0.291667,0.888889,0.647838,0.466667,0.933333,0.661949,0.612403,0.714286,3.224940,2.428571,4.000000,2.482718,2.431389,3.693333,3.807692,4.500000,5.666667,-inf,-inf,-inf,-inf,-inf
11,0.362903,0.133333,0.583333,0.270669,0.092593,0.421053,0.606459,0.291667,0.814815,0.652927,0.375000,0.866667,0.650551,0.587786,0.710526,3.302202,2.333333,4.333333,2.367159,2.306287,3.863175,3.948413,4.291667,2.666667,-inf,-inf,-inf,-inf,-inf
